area_m2,quartos,distancia_km,valor_aluguel
82.6,3,0.3,1671.04
49.0,1,1.87,1016.82
93.8,3,3.43,1613.81
98.5,4,2.66,1805.12
28.0,1,3.17,495.06
42.4,2,10.66,741.94
78.2,3,0.3,1297.27
67.1,2,13.12,860.35
74.6,3,2.03,1748.68
53.7,2,1.99,1148.81
97.0,3,6.79,1540.76
94.4,4,11.78,1635.3
76.7,2,4.9,1347.33
103.2,3,1.66,1934.07
86.7,2,0.66,1345.18
53.5,1,3.24,791.52
84.2,3,0.46,1707.93
51.0,2,11.43,819.44
97.0,3,2.08,1844.49
73.8,3,7.76,1203.31
70.4,3,9.82,1353.54
58.0,2,5.15,1252.07
105.6,4,7.94,1919.27
71.1,3,5.01,1435.56
64.3,1,2.55,1083.95
66.2,2,7.56,1029.1
88.3,2,7.01,1414.88
84.1,3,0.92,1844.75
85.3,3,8.51,1483.72
85.8,4,2.7,1641.18
128.5,5,16.09,1909.75
64.8,2,11.09,1087.56
62.2,2,4.33,1113.26
54.7,2,5.62,1098.07
90.4,3,0.85,1800.78
103.2,4,4.05,2044.48
72.2,3,3.51,1675.04
54.0,2,2.76,1225.98
54.4,2,3.68,922.86
91.3,4,24.88,1207.08
93.6,3,0.9,1741.19
88.6,4,0.54,1783.39
58.4,3,3.6,1097.87
80.8,3,2.4,1520.96
77.9,2,6.22,1259.1
80.5,2,1.68,1358.93
96.8,3,11.63,1499.39
80.6,3,9.85,1597.85
92.0,3,1.25,1759.23
76.7,3,0.81,1946.1
82.2,2,6.79,1391.67
90.8,3,0.3,1694.92
38.6,1,1.84,655.3
67.0,4,12.05,1384.83
63.2,1,0.82,1186.15
59.0,3,5.17,1554.78
68.1,3,3.74,1277.03
112.4,4,19.95,1767.05
53.4,2,2.74,1098.14
99.2,4,10.17,1505.25
32.9,1,14.16,400.0
66.6,3,0.98,1634.65
79.1,3,3.9,1406.5
89.7,4,4.47,1774.38
92.8,3,3.85,1421.13
