id_cliente,idade,renda_mensal,compras_mes,ticket_medio,visitas_site_mes,dias_desde_ultima_compra,segmento
1,18,2861,3,79.06,3,104,baixo
2,28,1225,3,85.52,2,67,baixo
3,34,2166,2,73.12,4,86,baixo
4,21,3158,3,76.93,0,87,baixo
5,26,2494,3,87.48,3,57,baixo
6,33,2695,2,94.42,1,28,baixo
7,18,2578,2,48.50,2,75,baixo
8,19,1768,2,66.28,0,24,baixo
9,22,3165,1,110.99,2,82,baixo
10,18,2799,2,55.95,5,78,baixo
11,18,3290,3,65.26,3,58,baixo
12,26,2750,2,85.33,1,92,baixo
13,20,2079,3,64.95,4,34,baixo
14,26,2847,3,63.11,4,104,baixo
15,29,1414,2,56.14,2,92,baixo
16,28,1983,2,87.80,2,57,baixo
17,20,2960,3,70.83,1,73,baixo
18,23,3065,1,84.48,1,104,baixo
19,22,1889,3,73.26,4,110,baixo
20,24,3860,1,81.60,4,71,baixo
21,21,2692,3,75.80,3,88,baixo
22,31,2170,0,59.78,3,118,baixo
23,21,3020,2,99.32,3,58,baixo
24,28,3366,3,57.13,3,57,baixo
25,24,2045,2,74.00,3,56,baixo
26,18,2438,3,82.66,3,54,baixo
27,34,2058,3,47.21,3,120,baixo
28,25,3990,2,75.82,3,113,baixo
29,19,2312,2,85.88,2,62,baixo
30,25,2731,2,76.71,2,98,baixo
31,23,1841,1,80.23,3,83,baixo
32,36,3529,2,104.55,3,69,baixo
33,29,2194,1,60.12,2,68,baixo
34,23,2629,2,80.83,4,79,baixo
35,19,3057,3,114.05,2,39,baixo
36,20,3288,2,78.25,4,117,baixo
37,27,2085,4,83.60,4,89,baixo
38,25,2717,3,93.15,3,78,baixo
39,21,2103,1,63.62,5,49,baixo
40,35,2208,1,36.90,1,76,baixo
41,34,2675,1,89.31,3,56,baixo
42,24,4070,3,50.40,5,94,baixo
43,26,1257,2,96.33,3,100,baixo
44,22,2563,2,55.14,0,33,baixo
45,18,2166,4,42.61,2,111,baixo
46,33,1200,2,56.93,2,36,baixo
47,24,1356,2,76.17,2,103,baixo
48,25,3063,3,81.26,3,51,baixo
49,23,2655,1,84.33,1,66,baixo
50,28,3006,3,56.28,4,72,baixo
51,21,1750,2,39.46,1,77,baixo
52,19,2205,1,67.90,0,96,baixo
53,34,3445,2,119.53,3,53,baixo
54,26,1521,3,45.64,2,85,baixo
55,41,2184,3,50.70,4,60,baixo
56,38,4573,2,85.35,0,90,baixo
57,26,2280,3,46.86,5,106,baixo
58,19,2100,3,59.52,2,39,baixo
59,41,2907,2,88.68,3,100,baixo
60,28,2097,3,72.97,4,43,baixo
61,43,3266,8,146.46,7,33,medio
62,33,5820,7,77.50,7,31,medio
63,37,5973,5,187.65,3,11,medio
64,30,8643,6,212.09,6,55,medio
65,40,4367,5,190.46,6,41,medio
66,42,5195,6,157.30,3,40,medio
67,36,4681,5,224.23,4,31,medio
68,25,5580,4,223.14,6,41,medio
69,43,6121,5,203.28,5,36,medio
70,52,6061,6,209.65,5,48,medio
71,38,5600,5,200.79,6,49,medio
72,28,5875,5,172.70,7,5,medio
73,29,7539,6,190.68,3,48,medio
74,35,4770,4,174.30,5,48,medio
75,48,7450,4,277.35,4,39,medio
76,49,5449,4,208.75,3,34,medio
77,27,5321,5,174.96,4,27,medio
78,38,5548,5,163.14,3,36,medio
79,55,3196,3,175.44,7,26,medio
80,33,5020,2,127.27,9,31,medio
81,36,3944,5,215.98,5,45,medio
82,34,5974,4,210.47,5,13,medio
83,45,7651,4,180.34,9,39,medio
84,51,7315,6,150.10,7,35,medio
85,41,5801,3,206.64,5,19,medio
86,37,5630,3,266.16,3,29,medio
87,36,8938,3,161.37,6,33,medio
88,24,7370,6,203.52,2,33,medio
89,34,4723,7,206.80,4,21,medio
90,41,4886,6,275.29,4,25,medio
91,45,4611,7,141.91,7,39,medio
92,44,5194,6,275.11,5,49,medio
93,51,6463,6,186.98,6,39,medio
94,26,5601,4,171.08,4,22,medio
95,42,3846,5,101.08,1,51,medio
96,50,4748,2,108.50,7,24,medio
97,49,5674,8,174.53,5,36,medio
98,29,8507,4,187.11,4,7,medio
99,33,7227,5,293.42,6,33,medio
100,40,2948,4,86.01,7,18,medio
101,39,5419,4,161.81,7,34,medio
102,37,5356,3,209.84,2,68,medio
103,37,6521,4,229.36,6,43,medio
104,39,6341,5,182.37,7,51,medio
105,46,5304,3,195.71,3,42,medio
106,42,5796,3,120.66,0,55,medio
107,31,5145,3,245.43,6,28,medio
108,31,6472,4,111.23,4,46,medio
109,50,6693,3,146.30,8,51,medio
110,47,6124,2,177.67,3,1,medio
111,31,5484,3,166.51,8,58,medio
112,33,7412,5,145.90,5,40,medio
113,23,8986,7,147.58,7,49,medio
114,37,5011,6,195.47,4,21,medio
115,33,4633,6,153.84,6,55,medio
116,48,5919,3,252.77,4,50,medio
117,43,4194,6,212.57,6,31,medio
118,48,7105,4,145.30,6,46,medio
119,39,6970,4,176.63,4,2,medio
120,29,6576,6,133.34,7,29,medio
121,47,11009,3,367.98,9,12,alto
122,38,13592,8,481.67,12,22,alto
123,44,8073,8,416.34,13,9,alto
124,20,10558,7,626.82,17,11,alto
125,49,13256,13,569.40,8,19,alto
126,51,15832,9,440.17,6,14,alto
127,34,14592,9,326.76,7,11,alto
128,55,10850,7,676.90,11,9,alto
129,53,16704,9,530.57,9,7,alto
130,30,10239,10,636.59,6,7,alto
131,49,9070,10,389.53,8,14,alto
132,56,7212,10,439.31,11,6,alto
133,40,14881,7,344.10,9,15,alto
134,42,14963,7,359.97,4,11,alto
135,40,13659,9,405.47,10,15,alto
136,36,13734,6,501.45,7,17,alto
137,49,5739,11,516.18,6,5,alto
138,46,6182,11,440.56,8,10,alto
139,51,10265,9,435.28,10,20,alto
140,57,12714,9,491.64,10,12,alto
141,30,8895,12,324.98,9,12,alto
142,37,10715,8,362.58,8,8,alto
143,48,12147,8,383.11,10,7,alto
144,43,8971,9,439.73,12,3,alto
145,49,13132,8,432.72,8,11,alto
146,44,11394,8,294.86,7,22,alto
147,55,12955,9,338.33,11,15,alto
148,40,10771,9,338.83,8,20,alto
149,50,13346,9,286.08,13,11,alto
150,49,8847,9,334.59,10,16,alto
151,43,7885,8,394.90,5,7,alto
152,56,15191,10,392.29,9,1,alto
153,60,9719,8,366.00,10,12,alto
154,43,12018,7,429.03,9,18,alto
155,45,14261,11,496.21,7,12,alto
156,49,7810,10,308.03,9,10,alto
157,51,14193,8,357.96,6,8,alto
158,64,10274,7,394.42,9,9,alto
159,32,10065,11,388.84,6,19,alto
160,53,12866,8,508.36,9,6,alto
161,47,10381,6,293.69,5,16,alto
162,47,11492,8,247.09,6,9,alto
163,43,17258,8,285.60,13,17,alto
164,57,11284,12,399.50,14,27,alto
165,37,14600,10,316.64,7,18,alto
166,41,16403,8,440.34,7,17,alto
167,51,10597,12,537.16,10,17,alto
168,44,14510,11,417.13,4,10,alto
169,48,12786,12,620.03,15,7,alto
170,52,8123,9,478.72,8,11,alto
171,58,7779,12,288.37,10,26,alto
172,32,12224,7,199.72,9,24,alto
173,49,7757,10,373.13,9,10,alto
174,44,9058,9,362.11,8,19,alto
175,50,11764,10,383.61,7,7,alto
176,62,15656,9,584.98,9,27,alto
177,44,14528,9,411.76,5,6,alto
178,40,11480,11,449.80,9,1,alto
179,41,13284,9,353.75,6,6,alto
180,65,15404,13,348.87,10,10,alto
