id,peso_g,diametro_cm,teor_acucar_brix,firmeza_kgf,indice_cor,classe_fruta
1,134.6,8.14,12.63,6.95,0.808,maca
2,158.9,7.45,13.10,8.21,0.759,maca
3,153.8,7.28,11.15,6.48,0.926,maca
4,135.6,7.00,12.42,7.63,0.883,maca
5,168.6,7.33,11.05,7.92,0.897,maca
6,142.6,6.90,10.08,7.26,0.866,maca
7,146.8,7.83,12.93,7.31,0.813,maca
8,177.4,7.44,12.16,8.47,0.772,maca
9,152.0,7.68,10.50,7.83,0.785,maca
10,145.0,7.05,11.15,7.85,0.849,maca
11,175.1,7.43,12.33,7.12,0.683,maca
12,127.8,7.78,12.86,7.77,0.695,maca
13,163.9,7.74,12.18,7.48,0.905,maca
14,176.9,6.93,11.38,8.32,0.906,maca
15,152.9,7.26,12.43,6.67,0.781,maca
16,154.0,7.21,13.49,5.11,0.810,maca
17,173.8,6.48,12.69,7.06,0.697,maca
18,150.3,7.68,11.73,7.05,0.718,maca
19,165.0,7.37,10.01,7.06,0.786,maca
20,179.1,7.76,14.25,7.66,0.820,maca
21,164.5,7.53,11.91,6.23,0.820,maca
22,149.7,8.05,12.49,7.47,0.690,maca
23,175.2,7.08,10.97,8.27,0.767,maca
24,185.0,7.86,11.93,7.69,0.889,maca
25,144.3,7.35,12.49,5.52,0.620,maca
26,139.0,7.66,11.18,7.29,0.673,maca
27,193.4,7.64,13.87,6.55,0.798,maca
28,136.5,6.94,11.73,6.32,0.714,maca
29,170.7,7.39,13.17,6.55,0.805,maca
30,181.5,7.12,12.11,8.23,0.620,maca
31,123.8,7.45,13.92,7.72,0.699,maca
32,147.0,7.90,13.06,6.88,0.798,maca
33,153.0,7.56,13.72,7.90,0.816,maca
34,156.6,7.56,14.14,7.89,0.805,maca
35,164.7,7.82,13.53,7.36,0.702,maca
36,153.2,7.58,15.78,6.61,0.748,maca
37,150.8,6.74,13.34,7.44,0.938,maca
38,132.8,7.79,12.48,5.75,0.829,maca
39,183.8,7.50,13.55,6.85,0.747,maca
40,145.5,7.95,11.29,6.28,0.705,maca
41,135.5,7.30,12.57,6.75,0.851,maca
42,146.3,7.55,13.13,6.03,0.802,maca
43,133.8,8.04,12.75,7.24,0.810,maca
44,147.4,7.28,13.61,7.55,0.777,maca
45,167.3,7.18,12.70,7.86,0.832,maca
46,192.4,7.05,13.99,8.14,0.849,maca
47,198.1,6.85,13.73,6.57,0.839,maca
48,161.3,7.50,12.24,7.72,0.833,maca
49,187.3,7.09,14.00,5.62,0.776,maca
50,168.8,7.59,10.77,6.36,0.813,maca
51,163.9,7.18,10.03,6.37,0.483,laranja
52,159.3,8.40,7.71,5.68,0.483,laranja
53,175.9,8.75,9.46,4.09,0.582,laranja
54,191.4,8.12,11.34,6.32,0.543,laranja
55,203.5,8.62,9.74,4.56,0.388,laranja
56,164.7,7.45,10.70,5.06,0.521,laranja
57,207.9,6.91,9.97,3.15,0.699,laranja
58,195.5,8.14,9.66,6.12,0.386,laranja
59,178.8,7.92,8.36,6.65,0.541,laranja
60,200.6,7.86,9.41,5.49,0.396,laranja
61,161.1,7.32,10.87,5.61,0.598,laranja
62,162.4,7.62,9.22,4.68,0.582,laranja
63,173.2,8.10,10.63,5.27,0.548,laranja
64,154.2,7.60,8.80,6.74,0.511,laranja
65,164.2,7.70,9.72,6.01,0.486,laranja
66,213.6,7.44,10.91,5.46,0.550,laranja
67,207.3,7.68,10.26,5.61,0.478,laranja
68,170.6,8.98,11.02,5.74,0.409,laranja
69,173.0,7.74,9.89,5.17,0.461,laranja
70,207.0,6.76,9.11,4.46,0.507,laranja
71,191.9,7.40,10.00,5.58,0.474,laranja
72,213.9,7.32,10.41,5.33,0.582,laranja
73,165.7,7.85,10.90,5.98,0.571,laranja
74,173.2,8.21,8.26,4.75,0.374,laranja
75,177.4,7.44,10.74,4.74,0.478,laranja
76,194.4,8.16,12.14,6.09,0.391,laranja
77,152.8,7.76,9.48,5.18,0.485,laranja
78,194.8,7.33,9.80,5.53,0.560,laranja
79,194.7,7.93,11.29,4.80,0.564,laranja
80,150.6,7.21,9.70,4.64,0.432,laranja
81,160.3,8.03,9.68,5.43,0.427,laranja
82,165.3,7.63,9.96,4.23,0.473,laranja
83,188.1,8.79,8.82,5.14,0.641,laranja
84,178.3,7.88,10.66,4.96,0.618,laranja
85,173.4,7.55,9.39,5.93,0.556,laranja
86,188.2,8.22,9.61,4.47,0.510,laranja
87,165.8,7.68,11.23,4.47,0.597,laranja
88,216.2,7.32,8.47,4.54,0.378,laranja
89,210.1,7.87,11.42,5.94,0.532,laranja
90,155.7,7.74,10.87,6.49,0.463,laranja
91,208.3,7.36,10.72,5.83,0.458,laranja
92,146.3,7.47,9.17,5.98,0.516,laranja
93,162.1,6.44,10.83,4.96,0.493,laranja
94,167.2,8.31,9.06,5.51,0.578,laranja
95,177.7,7.71,10.50,6.15,0.488,laranja
96,195.3,7.08,9.65,5.07,0.506,laranja
97,159.5,7.17,11.50,7.21,0.541,laranja
98,170.0,7.89,11.62,5.33,0.400,laranja
99,195.9,8.48,10.48,5.86,0.566,laranja
100,162.5,7.92,10.60,5.68,0.540,laranja
