nome_personagem,nivel,raca,classe,forca,destreza,constituicao,sabedoria,inteligencia,carisma
Kagha Firebrand,6,Orc,Feiticeiro,13,12,9,16,17,15
Ragzlin Goldseeker,2,Anão,Monge,16,17,11,15,9,17
Orin Darkweaver,3,Githyanki,Patrulheiro,8,9,8,17,10,11
Jaheira Swiftfoot,7,Meio-Elfo,Clérigo,19,11,14,18,18,9
Bex Stormwind,11,Orc,Guerreiro,8,15,11,16,18,11
Kagha Del'Vyre,2,Orc,Druida,12,15,18,11,11,19
Alfira Ironfist,12,Humano,Clérigo,17,18,15,19,12,18
Cora Firebrand,6,Halfling,Patrulheiro,12,8,16,11,16,11
Viconia Ironfist,5,Tiefling,Feiticeiro,12,9,19,16,13,18
Viconia Spellweaver,10,Anão,Clérigo,17,12,16,15,8,16
Brem Spellweaver,1,Githyanki,Bardo,13,16,10,19,10,17
Omeluum Cliffgate,12,Gnomo,Mago,15,17,12,9,14,18
Rath Ravengard,11,Gnomo,Guerreiro,10,18,13,15,15,13
Brem Stoutbeard,10,Meio-Elfo,Feiticeiro,16,19,13,8,14,17
Gale Anchev,11,Orc,Druida,8,18,17,16,12,13
Danis Shadowdancer,4,Orc,Bardo,11,14,15,16,17,12
Shadowheart Goldseeker,11,Halfling,Bardo,16,17,13,15,15,13
Brem Sunstrider,2,Orc,Bruxo,15,12,13,18,16,8
Aradin Moonbreeze,4,Gnomo,Mago,17,8,11,12,14,12
Sazza Cliffgate,1,Anão,Monge,16,13,14,12,18,19
Shadowheart Ansur,2,Meio-Elfo,Mago,8,19,15,10,16,13
Bex Dekarios,8,Halfling,Mago,16,15,10,12,8,15
Mizora Spellweaver,6,Tiefling,Bardo,10,14,14,11,16,11
Sarevok Silverfrond,2,Gnomo,Monge,18,9,10,8,10,12
Danis Stormwind,12,Elfo,Ladino,19,19,15,16,13,11
Roah Ravengard,6,Humano,Bruxo,17,12,8,17,15,14
Nere Sunstrider,10,Halfling,Mago,16,18,8,11,10,17
Dror Sunstrider,9,Halfling,Ladino,8,11,13,10,11,13
Bhaal Del'Vyre,7,Gnomo,Monge,8,16,17,13,14,11
Orin Ironfist,9,Meio-Elfo,Mago,16,17,16,8,19,13
Gale Silverfrond,5,Humano,Guerreiro,18,8,19,12,14,11
Blurg Dekarios,7,Anão,Ladino,13,19,11,14,11,19
Halsin Bloodaxe,11,Anão,Ladino,11,13,13,9,16,15
Bex Windrunner,7,Orc,Guerreiro,14,10,19,17,10,18
Minsc Ironfist,12,Elfo,Ladino,12,18,12,16,19,10
Kagha Swiftfoot,12,Dragonborn,Clérigo,17,16,19,19,15,15
