nome_personagem,classe,raca,nivel,forca,destreza,constituicao,inteligencia,sabedoria,carisma
Personagem_1,Ladino,Tiefling,10.0,7.0,16,13,12,11,12
Personagem_2,Druida,Draconato,3.0,12.0,11,9,12,15,8
Personagem_3,Patrulheiro,Draconato,5.0,11.0,15,14,10,15,10
Personagem_4,Mago,Halfling,4.0,6.0,18,12,16,11,9
Personagem_5,Feiticeiro,Humano,6.0,7.0,15,10,7,7,18
Personagem_6,Ladino,Humano,11.0,11.0,17,11,8,11,11
Personagem_7,Paladino,Tiefling,4.0,16.0,10,17,9,12,17
Personagem_8,Clérigo,Githyanki,14.0,10.0,9,12,9,19,11
Personagem_9,Ladino,Anão,6.0,5.0,16,11,16,9,13
Personagem_10,Patrulheiro,Githyanki,8.0,12.0,15,14,10,14,5
Personagem_11,Patrulheiro,Humano,5.0,6.0,16,10,8,13,8
Personagem_12,Mago,Draconato,6.0,7.0,15,8,14,11,7
Personagem_13,Feiticeiro,Draconato,6.0,9.0,14,12,9,8,19
Personagem_14,Druida,Tiefling,6.0,9.0,12,15,10,16,6
Personagem_15,Mago,Anão,8.0,7.0,15,16,18,10,10
Personagem_16,Mago,Elfo,4.0,9.0,11,14,19,12,8
Personagem_17,Clérigo,Halfling,5.0,14.0,12,12,13,14,13
Personagem_18,Guerreiro,Tiefling,7.0,17.0,14,16,10,10,8
Personagem_19,Feiticeiro,Elfo,6.0,7.0,13,10,8,10,17
Personagem_20,Bruxo,Githyanki,3.0,11.0,12,13,9,9,19
Personagem_21,Mago,Tiefling,3.0,5.0,13,15,18,12,6
Personagem_22,Guerreiro,Elfo,4.0,16.0,12,17,4,7,10
Personagem_23,Bruxo,Githyanki,3.0,8.0,13,13,8,12,16
Personagem_24,Feiticeiro,Humano,4.0,10.0,14,17,14,10,17
Personagem_25,Bardo,Tiefling,5.0,8.0,14,11,10,13,18
Personagem_26,Paladino,Tiefling,5.0,13.0,7,9,6,11,16
Personagem_27,Guerreiro,Tiefling,1.0,14.0,14,11,9,7,13
Personagem_28,Monge,draconato,7.0,10.0,18,14,10,16,6
Personagem_29,Bardo,Githyanki,1.0,10.0,12,12,15,8,11
Personagem_30,Patrulheiro,Humano,5.0,9.0,18,15,8,18,8
Personagem_31,Patrulheiro,Halfling,7.0,12.0,19,16,8,10,7
Personagem_32,Paladino,Halfling,6.0,,9,13,9,10,19
Personagem_33,Clérigo,Githyanki,2.0,11.0,11,12,10,12,17
Personagem_34,Ladino,Anão,5.0,8.0,18,17,9,12,13
Personagem_35,Druida,Anão,5.0,9.0,11,16,12,11,10
Personagem_36,Monge,Elfo,7.0,14.0,15,14,11,15,7
Personagem_37,Clérigo,Halfling,4.0,14.0,11,15,11,18,10
Personagem_38,Feiticeiro,Tiefling,7.0,8.0,14,14,11,9,15
Personagem_39,Clérigo,Elfo,6.0,11.0,8,13,8,16,8
Personagem_40,Ladino,Humano,7.0,11.0,17,12,12,9,11
Personagem_41,Feiticeiro,Githyanki,7.0,7.0,10,12,9,8,17
Personagem_42,Monge,Githyanki,5.0,12.0,13,13,9,18,6
Personagem_43,Ladino,Draconato,8.0,7.0,16,15,12,12,13
Personagem_44,Bruxo,Elfo,13.0,10.0,14,14,13,7,17
Personagem_45,Druida,Githyanki,4.0,13.0,13,15,9,13,10
Personagem_46,Monge,Draconato,9.0,10.0,16,14,7,14,8
Personagem_47,Bruxo,Humano,7.0,6.0,13,16,7,7,17
Personagem_48,Paladino,Humano,7.0,15.0,13,18,6,12,14
Personagem_49,Monge,Tiefling,4.0,9.0,16,11,13,15,4
Personagem_50,Paladino,   anão,6.0,14.0,9,17,10,11,13
Personagem_51,Feiticeiro,Halfling,5.0,8.0,13,18,9,10,18
Personagem_52,Bruxo,Elfo,11.0,10.0,12,14,9,9,20
Personagem_53,Druida,Humano,5.0,11.0,10,13,11,14,10
Personagem_54,Ladino,Draconato,,9.0,16,14,13,8,15
Personagem_55,Mago,Halfling,6.0,8.0,15,12,20,12,12
Personagem_56,Clérigo,Githyanki,4.0,12.0,9,14,12,16,10
Personagem_57,Bardo, elfo ,5.0,7.0,15,15,8,7,17
Personagem_58,Druida,Githyanki,6.0,11.0,15,14,13,15,7
Personagem_59,Bruxo,Anão,5.0,8.0,11,12,14,9,15
Personagem_60,Mago,Elfo,6.0,12.0,14,14,20,10,11
Personagem_61,Druida,Elfo,5.0,9.0,14,15,8,17,9
Personagem_62,Bruxo,Githyanki,9.0,9.0,10,16,9,8,17
Personagem_63,Guerreiro,Draconato,3.0,16.0,13,17,9,6,8
Personagem_64,Guerreiro,Draconato,7.0,14.0,13,20,5,9,12
Personagem_65,Paladino,draconato,5.0,17.0,6,15,13,8,16
Personagem_66,Druida,draconato,4.0,8.0,14,12,14,19,8
Personagem_67,Guerreiro,Draconato,3.0,18.0,15,18,9,7,9
Personagem_68,Bruxo,Humano,11.0,9.0,14,15,6,9,17
Personagem_69,Paladino,Githyanki,5.0,16.0,9,14,13,10,15
Personagem_70,Bruxo,Githyanki,4.0,6.0,9,14,11,10,18
Personagem_71,Paladino,Draconato,10.0,12.0,12,14,9,12,16
Personagem_72,Druida,Humano,3.0,10.0,13,17,7,20,9
Personagem_73,Mago,Anão,5.0,5.0,16,11,14,12,8
Personagem_74,Ladino,Githyanki,3.0,9.0,16,10,10,9,15
Personagem_75,Monge,Githyanki,7.0,11.0,18,10,10,18,5
Personagem_76,Mago,Githyanki,7.0,7.0,15,16,20,10,10
Personagem_77,Feiticeiro,Draconato,4.0,5.0,11,12,12,11,16
Personagem_78,Bruxo,Elfo,9.0,7.0,11,13,9,11,15
Personagem_79,Feiticeiro,Draconato,11.0,9.0,14,12,8,11,17
Personagem_80,Mago,Anão,10.0,7.0,18,13,16,10,10
Personagem_81,Paladino,Tiefling,6.0,14.0,5,15,11,12,17
Personagem_82,Monge,Tiefling  ,6.0,,15,14,6,17,11
Personagem_83,Monge,Tiefling,6.0,12.0,13,12,10,17,8
Personagem_84,Bardo,Halfling,6.0,9.0,14,14,11,10,15
Personagem_85,Monge,Tiefling,7.0,13.0,19,13,8,16,9
Personagem_86,Ladino,Halfling,10.0,9.0,16,14,14,7,15
Personagem_87,Monge,Draconato,9.0,12.0,17,10,11,16,8
Personagem_88,Mago,Humano,6.0,,13,12,14,11,11
Personagem_89,Bardo,Halfling,4.0,8.0,13,13,14,8,16
Personagem_90,Mago,Githyanki,6.0,8.0,13,14,18,12,9
Personagem_91,Mago,Draconato,7.0,7.0,14,12,17,10,10
Personagem_92,Patrulheiro,Elfo,7.0,9.0,19,10,6,13,7
Personagem_93,Clérigo,Humano,8.0,15.0,13,14,10,14,11
Personagem_94,Bardo,Halfling,4.0,12.0,17,9,12,11,14
Personagem_95,Mago,Humano,9.0,11.0,10,13,16,9,7
Personagem_96,Clérigo,Anão,8.0,12.0,10,17,11,15,15
Personagem_97,Clérigo,Humano,8.0,12.0,11,14,11,15,14
Personagem_98,Bardo,Draconato,8.0,8.0,14,12,10,9,18
Personagem_99,Patrulheiro,Githyanki,6.0,13.0,16,9,12,17,10
Personagem_100,Feiticeiro,Tiefling,3.0,8.0,15,12,8,13,16
Personagem_101,Paladino,Elfo,11.0,19.0,7,12,8,12,12
Personagem_102,Ladino,Draconato,6.0,9.0,12,14,10,7,12
Personagem_103,Paladino,Anão,1.0,16.0,11,14,11,12,20
Personagem_104,Monge,Anão,4.0,13.0,16,19,8,16,8
Personagem_105,Ladino,Elfo,4.0,10.0,16,12,12,6,12
Personagem_106,Monge,Halfling,4.0,9.0,14,14,8,16,6
Personagem_107,Mago,Humano,8.0,5.0,14,13,15,12,7
Personagem_108,Bruxo,Halfling,3.0,12.0,9,15,9,9,18
Personagem_109,Bardo,Githyanki,6.0,9.0,15,7,10,8,17
Personagem_110,Ladino,Draconato,15.0,11.0,17,12,13,5,10
Personagem_111,Ladino,Githyanki,3.0,9.0,15,14,9,11,13
Personagem_112,Mago,Draconato,11.0,3.0,15,16,15,14,13
Personagem_113,Feiticeiro,Elfo,13.0,8.0,11,12,12,14,13
Personagem_114,Clérigo,Anão,1.0,11.0,13,12,11,18,8
Personagem_115,Mago,Humano,8.0,12.0,14,11,16,10,10
Personagem_116,Guerreiro,Githyanki,4.0,17.0,12,18,10,12,10
Personagem_117,Patrulheiro,Anão,14.0,8.0,18,14,10,18,9
Personagem_118,Clérigo,Humano,7.0,8.0,9,13,12,17,11
Personagem_119,Bardo,Tiefling,5.0,8.0,18,9,8,9,18
Personagem_120,Clérigo,Halfling,7.0,11.0,10,16,9,13,13
Personagem_121,Feiticeiro,Anão,6.0,7.0,17,15,7,7,16
Personagem_122,Clérigo,Anão,5.0,15.0,9,13,12,15,12
Personagem_123,Bardo,Githyanki,6.0,7.0,17,7,6,10,19
Personagem_124,Feiticeiro,Anão,8.0,10.0,17,12,11,10,16
Personagem_125,Paladino,Tiefling,5.0,14.0,7,18,10,11,19
Personagem_126,Ladino,Halfling,7.0,12.0,16,11,10,7,11
Personagem_127,Ladino,Anão,9.0,10.0,20,15,11,7,14
Personagem_128,Patrulheiro,Humano,6.0,12.0,13,13,9,12,11
Personagem_129,Monge,Tiefling,6.0,13.0,17,10,10,17,9
Personagem_130,Paladino,Halfling,6.0,17.0,11,14,7,7,15
Personagem_131,Paladino,Tiefling,5.0,16.0,8,15,6,13,17
Personagem_132,Clérigo,Tiefling,5.0,13.0,10,14,6,18,13
Personagem_133,Ladino,Elfo,6.0,8.0,13,14,12,9,12
Personagem_134,Bardo,Halfling,6.0,6.0,16,14,12,12,20
Personagem_135,Druida,Tiefling,7.0,12.0,12,14,10,20,7
Personagem_136,Druida,Halfling,11.0,12.0,12,11,8,20,11
Personagem_137,Feiticeiro,Tiefling,9.0,9.0,15,17,9,8,19
Personagem_138,Ladino,Elfo,10.0,7.0,17,13,12,10,11
Personagem_139,Ladino,Humano,10.0,12.0,18,11,15,8,12
Personagem_140,Patrulheiro,Halfling,7.0,10.0,13,16,9,15,10
Personagem_141,Druida,Elfo,3.0,,8,15,11,18,5
Personagem_142,Ladino,Draconato,9.0,8.0,17,13,11,7,14
Personagem_143,Patrulheiro,Draconato,3.0,12.0,17,11,11,13,9
Personagem_144,Clérigo,Githyanki,8.0,14.0,10,13,10,15,8
Personagem_145,Guerreiro,Halfling,7.0,17.0,150,15,7,8,6
Personagem_146,Bruxo,Elfo,5.0,8.0,11,14,11,11,14
Personagem_147,Paladino,Tiefling,5.0,15.0,8,12,8,11,17
Personagem_148,Monge,Githyanki,4.0,12.0,19,12,6,14,11
Personagem_149,Feiticeiro,Anão,6.0,10.0,13,14,8,11,14
Personagem_150,Guerreiro,Humano,4.0,20.0,14,16,9,10,6
Personagem_151,Druida,Githyanki,11.0,10.0,6,17,12,20,11
Personagem_152,Patrulheiro,Humano,10.0,10.0,18,11,6,14,9
Personagem_153,Paladino,Tiefling,11.0,,12,15,9,10,16
Personagem_154,Ladino,Anão,7.0,9.0,14,11,10,8,11
Personagem_155,Monge,Elfo,7.0,12.0,19,17,11,14,8
Personagem_156,Ladino,Anão,,9.0,17,14,10,8,11
Personagem_157,Bardo,Elfo,14.0,10.0,16,14,9,10,14
Personagem_158,Bardo,Halfling,4.0,4.0,13,11,9,8,15
Personagem_159,Monge,Elfo,7.0,13.0,17,16,9,19,9
Personagem_160,Patrulheiro,Elfo,7.0,13.0,15,11,7,19,9
Personagem_161,Monge,,11.0,10.0,16,11,10,15,10
Personagem_162,Druida,Humano,8.0,9.0,7,14,11,18,12
Personagem_163,Monge,Elfo,,9.0,16,12,10,13,10
Personagem_164,Clérigo,Draconato,6.0,10.0,7,13,13,16,11
Personagem_165,Ladino,Anão,5.0,8.0,17,13,11,10,16
Personagem_166,Guerreiro,Draconato,9.0,18.0,10,16,14,11,9
Personagem_167,Mago,Halfling,9.0,10.0,11,10,16,10,8
Personagem_168,Patrulheiro,Humano,2.0,12.0,15,13,7,15,3
Personagem_169,Monge,Elfo,7.0,12.0,14,11,7,15,11
Personagem_170,Feiticeiro,Halfling,6.0,4.0,10,13,11,7,18
Personagem_171,Bardo,Humano,6.0,9.0,17,12,10,10,14
Personagem_172,Clérigo,Tiefling,6.0,9.0,9,11,13,18,12
Personagem_173,Paladino,Halfling,,18.0,13,16,8,12,16
Personagem_174,Mago,Tiefling,8.0,6.0,13,10,17,12,10
Personagem_175,Patrulheiro,Halfling,9.0,11.0,16,12,11,16,5
Personagem_176,Guerreiro,Halfling,7.0,16.0,13,15,8,10,9
Personagem_177,Mago,draconato,3.0,8.0,15,13,16,12,10
Personagem_178,Monge,Draconato,7.0,9.0,18,9,3,15,10
Personagem_179,Druida,Githyanki,7.0,7.0,13,15,9,15,8
Personagem_180,Bardo,Elfo,4.0,8.0,13,9,10,10,17
Personagem_181,Bardo,,4.0,7.0,18,12,11,9,14
Personagem_182,Paladino,Anão,8.0,18.0,9,15,11,8,14
Personagem_183,Druida,Humano,11.0,9.0,16,17,9,15,9
Personagem_184,Ladino,Halfling,1.0,9.0,13,11,12,8,10
Personagem_185,Bruxo,Elfo,7.0,10.0,10,17,11,13,15
Personagem_186,Clérigo,Halfling,11.0,14.0,9,14,9,11,12
Personagem_187,Bardo,Githyanki,13.0,3.0,16,8,10,9,20
Personagem_188,Feiticeiro,Tiefling,4.0,8.0,14,11,9,12,14
Personagem_189,Bardo,Tiefling,11.0,11.0,13,12,8,11,17
Personagem_190,Mago,Draconato,1.0,7.0,14,9,20,13,11
Personagem_191,Bardo,Draconato,3.0,8.0,12,12,10,8,15
Personagem_192,Patrulheiro,Anão,6.0,10.0,15,13,11,12,7
Personagem_193,Bardo,Elfo,1.0,11.0,15,12,12,7,17
Personagem_194,Bruxo,HUMANO,5.0,6.0,13,13,9,9,15
Personagem_195,Bruxo,Humano,8.0,7.0,9,12,12,8,16
Personagem_196,Guerreiro,Tiefling,4.0,16.0,16,17,12,8,8
Personagem_197,Ladino,Tiefling,4.0,9.0,16,11,9,6,12
Personagem_198,Feiticeiro,Halfling,6.0,4.0,15,12,11,7,14
Personagem_199,Bardo,Humano,5.0,6.0,16,9,12,11,16
Personagem_200,Bardo,Halfling,10.0,9.0,19,12,5,12,15
Personagem_201,Clérigo,Tiefling,5.0,14.0,14,12,6,13,13
Personagem_202,Bruxo,Draconato,1.0,8.0,12,12,10,10,15
Personagem_203,Feiticeiro,Githyanki,3.0,6.0,12,15,11,10,19
Personagem_204,Paladino,Humano,2.0,13.0,9,14,8,10,16
